AutoCtr,Order,OtherOrders,CommonAncestor
1001,Myxiniformes,Petromyzontiformes,455
1002,Myxiniformes,Heterodontiformes,500
1003,Myxiniformes,Orectolobiformes,500
1004,Myxiniformes,Lamniformes,500
1005,Myxiniformes,Carcharhiniformes,500
1006,Myxiniformes,Hexanchiformes,500
1007,Myxiniformes,Squaliformes,500
1008,Myxiniformes,Echinorhiniformes,500
1009,Myxiniformes,Pristiophoriformes,500
1010,Myxiniformes,Squatiniformes,500
1011,Myxiniformes,Rajiformes,500
1012,Myxiniformes,Torpediniformes,500
1013,Myxiniformes,Rhinopristiformes,500
1014,Myxiniformes,Myliobatiformes,500
1015,Myxiniformes,Chimaeriformes,500
1016,Myxiniformes,Polypteriformes,500
1017,Myxiniformes,Acipenseriformes,500
1018,Myxiniformes,Amiiformes,500
1019,Myxiniformes,Lepisosteiformes,500
1020,Myxiniformes,Elopiformes,500
1021,Myxiniformes,Albuliformes,500
1022,Myxiniformes,Notacanthiformes,500
1023,Myxiniformes,Anguilliformes,500
1024,Myxiniformes,Saccopharyngiformes,500
1025,Myxiniformes,Hiodontiformes,500
1026,Myxiniformes,Osteoglossiformes,500
1027,Myxiniformes,Clupeiformes,500
1028,Myxiniformes,Alepocephaliformes,500
1029,Myxiniformes,Gonorynchiformes,500
1030,Myxiniformes,Cypriniformes,500
1031,Myxiniformes,Characiformes,500
1032,Myxiniformes,Gymnotiformes,500
1033,Myxiniformes,Siluriformes,500
1034,Myxiniformes,Lepidogalaxiiformes,500
1035,Myxiniformes,Esociformes,500
1036,Myxiniformes,Salmoniformes,500
1037,Myxiniformes,Argentiniformes,500
1038,Myxiniformes,Galaxiiformes,500
1039,Myxiniformes,Stomiiformes,500
1040,Myxiniformes,Osmeriformes,500
1041,Myxiniformes,Ateleopodiformes,500
1042,Myxiniformes,Aulopiformes,500
1043,Myxiniformes,Myctophiformes,500
1044,Myxiniformes,Polymixiiformes,500
1045,Myxiniformes,Percopsiformes,500
1046,Myxiniformes,Zeiformes,500
1047,Myxiniformes,Stylephoriformes,500
1048,Myxiniformes,Gadiformes,500
1049,Myxiniformes,Lampriformes,500
1050,Myxiniformes,Trachichthyiformes,500
1051,Myxiniformes,Beryciformes,500
1052,Myxiniformes,Holocentriformes,500
1053,Myxiniformes,Ophidiiformes,500
1054,Myxiniformes,Batrachoidiformes,500
1055,Myxiniformes,Kurtiformes,500
1056,Myxiniformes,Gobiiformes,500
1057,Myxiniformes,Scombriformes,500
1058,Myxiniformes,Syngnathiformes,500
1059,Myxiniformes,Dactylopteriformes,500
1060,Myxiniformes,Callionymiformes,500
1061,Myxiniformes,Mulliformes,500
1062,Myxiniformes,Synbranchiformes,500
1063,Myxiniformes,Anabantiformes,500
1064,Myxiniformes,Carangaria/misc,500
1065,Myxiniformes,Carangiformes,500
1066,Myxiniformes,Pleuronectiformes,500
1067,Myxiniformes,Mugiliformes,500
1068,Myxiniformes,Ovalentaria/misc,500
1069,Myxiniformes,Gobiesociformes,500
1070,Myxiniformes,Blenniiformes,500
1071,Myxiniformes,Cichliformes,500
1072,Myxiniformes,Beloniformes,500
1073,Myxiniformes,Atheriniformes,500
1074,Myxiniformes,Cyprinodontiformes,500
1075,Myxiniformes,Perciformes/Percoidei,500
1076,Myxiniformes,Perciformes/Zoarcoidei,500
1077,Myxiniformes,Perciformes/Bembropoidei,500
1078,Myxiniformes,Perciformes/Percophoidei,500
1079,Myxiniformes,Perciformes/Notothenioidei,500
1080,Myxiniformes,Perciformes/Uranoscopoidei,500
1081,Myxiniformes,Perciformes/Serranoidei,500
1082,Myxiniformes,Perciformes/Scorpaenoidei,500
1083,Myxiniformes,Perciformes/Gasterosteoidei,500
1084,Myxiniformes,Perciformes/Cottoidei,500
1085,Myxiniformes,Acropomatiformes,500
1086,Myxiniformes,Centrarchiformes,500
1087,Myxiniformes,Eupercaria/misc,500
1088,Myxiniformes,Acanthuriformes,500
1089,Myxiniformes,Lophiiformes,500
1090,Myxiniformes,Tetraodontiformes,500
1091,Myxiniformes,Coelacanthiformes,500
1092,Myxiniformes,Ceratodontiformes,500
1093,Petromyzontiformes,Myxiniformes,455
1094,Petromyzontiformes,Heterodontiformes,500
1095,Petromyzontiformes,Orectolobiformes,500
1096,Petromyzontiformes,Lamniformes,500
1097,Petromyzontiformes,Carcharhiniformes,500
1098,Petromyzontiformes,Hexanchiformes,500
1099,Petromyzontiformes,Squaliformes,500
1100,Petromyzontiformes,Echinorhiniformes,500
1101,Petromyzontiformes,Pristiophoriformes,500
1102,Petromyzontiformes,Squatiniformes,500
1103,Petromyzontiformes,Rajiformes,500
1104,Petromyzontiformes,Torpediniformes,500
1105,Petromyzontiformes,Rhinopristiformes,500
1106,Petromyzontiformes,Myliobatiformes,500
1107,Petromyzontiformes,Chimaeriformes,500
1108,Petromyzontiformes,Polypteriformes,500
1109,Petromyzontiformes,Acipenseriformes,500
1110,Petromyzontiformes,Amiiformes,500
1111,Petromyzontiformes,Lepisosteiformes,500
1112,Petromyzontiformes,Elopiformes,500
1113,Petromyzontiformes,Albuliformes,500
1114,Petromyzontiformes,Notacanthiformes,500
1115,Petromyzontiformes,Anguilliformes,500
1116,Petromyzontiformes,Saccopharyngiformes,500
1117,Petromyzontiformes,Hiodontiformes,500
1118,Petromyzontiformes,Osteoglossiformes,500
1119,Petromyzontiformes,Clupeiformes,500
